epoch,time(s),train_loss,test_loss,test_error(%)
001,00045,1.763633,1.87512,62.62
002,00045,1.572833,1.64960,55.44
003,00045,1.275856,1.70959,49.04
004,00045,1.194169,1.54863,46.89
005,00045,1.214910,1.57476,44.02
006,00045,1.170449,1.69577,41.75
007,00045,1.100601,1.62582,43.90
008,00045,0.963827,1.58784,39.71
009,00045,0.877255,1.65400,38.22
010,00045,0.939945,2.21422,39.53
011,00045,0.941704,1.78540,40.01
012,00045,0.792029,1.79931,40.07
013,00045,0.940436,2.05381,35.41
014,00045,0.772503,1.90763,35.41
015,00045,1.107900,1.65861,40.07
016,00045,0.747027,1.84674,33.01
017,00045,0.855321,1.80821,36.18
018,00045,0.621697,1.91631,30.08
019,00045,0.750651,2.54405,34.15
020,00045,0.577831,1.88541,29.96
021,00045,0.489771,1.98162,28.05
022,00045,0.534844,2.89680,31.76
023,00045,0.853768,2.26066,34.21
024,00045,0.767864,2.36237,30.56
025,00045,0.524508,1.66300,27.09
026,00045,0.496323,2.27864,27.81
027,00046,0.392589,2.38887,25.54
028,00045,0.632636,2.30609,28.17
029,00045,0.530822,2.28665,26.56
030,00045,0.688201,2.41414,31.82
031,00045,0.425515,2.27253,24.88
032,00045,0.347792,2.28172,25.12
033,00045,0.296163,2.89156,23.21
034,00045,0.280386,3.02941,22.49
035,00045,0.539283,2.25341,27.03
036,00045,0.344289,3.25370,28.41
037,00045,1.396841,2.40446,28.53
038,00045,0.499578,2.18647,24.88
039,00045,0.298180,2.51855,21.89
040,00045,0.249462,2.73661,21.35
041,00045,0.145352,3.33368,20.63
042,00045,0.334789,4.38327,22.97
043,00045,0.525313,2.89444,27.09
044,00045,0.564538,2.72875,23.50
045,00045,0.322001,2.62759,23.03
046,00045,0.256329,2.69269,23.03
047,00045,0.197133,3.92129,21.89
048,00045,0.197564,3.26739,20.93
049,00045,0.118226,3.37289,21.11
050,00045,0.106747,3.62499,20.10
