epoch,time(s),train_loss,test_loss,test_error(%)
001,00079,1.910784,2.49268,79.28
002,00079,1.456174,2.16772,59.82
003,00078,1.105643,16.30379,90.73
004,00094,1.093039,3.52410,80.71
005,00094,1.059447,4.57219,77.05
006,00085,0.985950,10.52377,88.84
007,00086,0.742890,4.12985,74.47
008,00088,0.690239,2.02423,57.24
009,00080,0.725503,1.49680,44.19
010,00077,0.573765,4.10124,69.66
011,00080,0.590668,3.06870,60.96
012,00080,0.637598,4.40110,77.96
013,00078,0.694176,6.37337,73.21
014,00080,0.490595,3.89690,65.43
015,00078,0.531937,3.67948,66.29
016,00079,0.840913,4.92221,79.45
017,00079,0.499448,3.85137,78.99
018,00078,0.606609,1.87857,49.86
019,00077,0.500118,1.17938,35.20
020,00078,0.380647,2.26298,45.51
021,00080,0.613068,3.25991,63.14
022,00080,0.389690,1.65181,46.59
023,00095,0.370755,3.68004,64.45
024,00104,0.378019,2.57507,59.19
025,00082,0.469371,2.53009,59.02
026,00081,0.344300,1.01584,29.59
027,00075,0.354077,1.79311,46.25
